개방자치단체코드,관리번호,인허가일자,소재지전화,도로명전체주소,도로명우편번호,좌표정보(x),좌표정보(y),영업상태명,상세영업상태명,소재지전체주소,병원번호,사업장명,공지,웹사이트 링크,"제로페이, 주차",병원 소개
3180000,318000001020210002,2021.6.30,02-831-0075,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",7383,191647.1628,444844.7641,영업/정상,정상,서울특별시 영등포구 신길동 324-49 영민빌딩 1층,1,다움동물병원,"진료시간은
월/화/목/금 10:00~20:30 (접수마감 20:00)
수요일 휴진
토/일 10:00~19:00 입니다",https://blog.naver.com/daumanimal,"제로페이, 주차, 지역화폐 (모바일형)","안녕하세요
우리집 근처 우리아이 주치의
다움동물병원입니다.
진심과 최선을 다하는 병원이 되겠습니다.
전화번호 : 02-831-0075
카카오톡채널 : 다움동물병원 으로 편하게 문의주세요"
3010000,301000001019920001,1992.2.12,2237-3366,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",4608,201064.9637,450779.721,영업/정상,정상,서울특별시 중구 신당동 336-3 명덕빌딩,2,바우미우동물병원,청구역 3번 출구에서 국민은행 쪽으로 길 건넌 뒤 약수역 방향으로 2분 정도 걸어오시면 우리은행 옆에 있습니다.,https://blog.naver.com/bowmeowah,"제로페이, 주차","개, 고양이 진료, 미용, 사료 및 용품판매."
3010000,301000001019950001,1995.5.12,2278-0075,서울특별시 중구 퇴계로 254-1 (묵정동),4619,199930.8583,451121.3448,영업/정상,정상,서울특별시 중구 묵정동 32-1,3,황동물병원,,,,
3070000,307000001020000004,2000.8.1,928-5599,서울특별시 성북구 보문로 137 (보문동2가),2871,201537.5976,453866.557,영업/정상,정상,서울특별시 성북구 보문동2가 49번지,4,서울종합동물병원,보문역 3번출구 500m 경동고교입구사거리 우측 사랑의매학원 건물 1층.,,제로페이,
3070000,307000001020010002,2001.5.7,918-3344,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779,205326.1448,456806.4324,영업/정상,정상,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,5,대학동물병원,,,주차,디스크-관절염에--한방진료[봉침 .미세전류치료.레이져치료]
3070000,307000001020010004,2001.4.12,924-4555,서울특별시 성북구 종암로 65 (종암동),2810,203035.964,454877.3496,영업/정상,정상,서울특별시 성북구 종암동 19-1번지,6,강북동물병원,,,제로페이,
3110000,311000001020140001,2014.5.21,02-969-7582,서울특별시 은평구 백련산로 145 (응암동),3463,193315.1172,455100.9551,영업/정상,정상,서울특별시 은평구 응암동 194-23,7,스머프동물병원,응암 푸르지오아파트 입구 앞 세븐일레븐 옆 건물,,제로페이,"스머프동물병원은 여러분의 반려동물이 얼마나 소중한지 누구보다 잘 알고 있습니다. 그렇기에 최선의 진료만을 생각합니다. 사랑하는 반려동물을 믿고 맡길 수 있는 착한 병원, 진심으로 다가가는 친근한 동반자가 될 수 있도록 항상 처음처럼 노력하겠습니다."
3110000,311000001020140002,2014.9.1,02-356-8353,"서울특별시 은평구 불광로 60, 1층 (불광동)",3365,193936.1257,456673.8056,영업/정상,정상,서울특별시 은평구 불광동 554-1번지 1층,8,다루동물병원,"저희 병원 건물 뒤 주차 가능합니다!
일반 승용차일 경우 자동 주차장 이용 가능합니다 (SUV제외)
저희 병원 옆에 롯데캐슬 주차장 이용 가능합니다(유료주차장입니다)",,"제로페이, 주차, 지역화폐 (모바일형)",
3110000,311000001020150001,2015.1.2,02-388-0275,서울특별시 은평구 역말로 7 (역촌동),3415,192084.6798,455936.9704,영업/정상,정상,서울특별시 은평구 역촌동 51-22번지,9,도담동물병원,역촌동 성당 건너편에서 시립 서북병원 방면으로 50m올라오시면 됩니다.(교촌치킨 길 건너편),https://blog.naver.com/dodampet,제로페이,최선을 다해서 친절하게 설명하는 동물병원이 되겠습니다. 무작정 수술이나 검사를 권하는 병원이 아닙니다. 언제든지 들러주세요 ^^
3110000,311000001020000002,2000.3.28,386-6092,서울특별시 은평구 서오릉로 192 (갈현동),3335,192190.2663,456830.5284,영업/정상,정상,서울특별시 은평구 갈현동 498-3번지,10,미래동물병원,"서오릉로에 있는 갈현동 구산사거리에서 예일여고(6호선 구산역) 사거리 방향으로 10M 정도에 위치에 있으며, 본원 바로 옆에 갈현우체국과 국민은행 역촌점이 있습니다.",,"제로페이, 주차","1. 심장 초음파, 일반 엑스레이, 세포학 검사, 뇨검사, 생화학 검사, 전해질 검사, 혈구 검사 등의 혈액 검사가 바로 가능 하도록 최신의 검사 장비를 갖추고 있습니다. 2. 25여 년 간의 경험을 바탕으로 보다 정밀한 진단 및 치료, 완벽한 수술을 추구하는 동물병원입니다. 3. 보호자의 부담과 반려동물의 스트레스를 줄이기 위하여 꼭 필요한 경우가 아닌한 가능한 입원을 시키지 않습니다."
3110000,311000001020010001,2001.7.2,382-3243,서울특별시 은평구 서오릉로 140 (대조동),3394,192656.3021,456562.1634,영업/정상,정상,서울특별시 은평구 대조동 224-24번지,11,더독동물병원,,,제로페이,
3030000,303000001020030007,2003.1.24,02-2297-7582,서울특별시 성동구 행당로8길 41-2 (행당동),,202931.7899,450419.387,영업/정상,정상,서울특별시 성동구 행당동 322-100번지,12,오렌지동물병원,"지하철 :행당역, 왕십리역에서 오실 때 : 무학여고에서 성수대교 방면(응봉삼거리)으로 70m에 위치해 있습니다.
버스: 행당푸르지오 정류장 바로앞에 위치하고 있습니다..

주차는 오렌지동물병원옆에 있는 신동아상가 주차장 비어있는주차공간에 세우시면 됩니다.(무료)
주차관리하시는분이 계시면 오렌지동물병원에 왔다고 말씀하시면 됩니다.^^",https://blog.naver.com/kdh3v7,"제로페이, 주차",동물을 사랑한다면 모든 것을 사랑할 수 있다.는 원훈을 바탕으로 최신의 의료장비와 임상경험을 통한 정확한 진단과 따뜻한 진료로 보다나은 의료 서비스를 제공해 드립니다. 오렌지 동물병원은 생명을 제일 중요하게 생각하며 아픈 동물들이 건강하게 자랄 수 있도록 최선을 다하고 도움을 드리겠습니다.
3210000,321000001019970001,1997.1.17,02-582-2186,서울특별시 서초구 방배로34길 12 (방배동),6585,199192.1512,443359.706,영업/정상,정상,서울특별시 서초구 방배동 809-1,13,남서울동물병원,"내방역 함지박 사거리에서 GS 주유소직전에서 우회전 20m 위치.

***주차가능합니다.",,"제로페이, 주차",반려동물 수술전문병원 남서울 동물병원입니다. 자세한 문의는 전화상담 가능합니다. 010 7582 2186
3210000,321000001019980001,1998.1.12,582-2357,서울특별시 서초구 효령로57길 4 (서초동),6643,201437.4779,442585.4812,영업/정상,정상,서울특별시 서초구 서초동 1603-66,14,서초동물병원,3호선 남부터미널역 2번출구 30m이내 주차시설 완비(건물 옆 본죽과 주류백화점 사이 골목),https://seochoan.modoo.at/,주차,"서초동 남부터미널 위치, 심장질환, 슬개골탈구, 위내시경, 중성화, 피부질환검사"
3210000,321000001020130005,2013.8.20,522-0222,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",6671,200886.0325,442481.6826,영업/정상,정상,서울특별시 서초구 서초동 1534-2번지 명성빌딩,15,아델 동물병원,우면산 터널 입구 서초 3동 사거리에 위치 남부터미널 6번 출구에서 직진하여 5분거리 서초역3번 출구에서 직진하여 8분거리,https://blog.naver.com/adel0222,"제로페이, 주차","반려동물의 행복한 삶을 위해 노력하는 아델동물병원입니다. 강남 2차 동물병원 근무경력을 기반으로 집근처에서도 반려동물에게 좋은 진료를 제공하고자 개원하였습니다. `보다 건강하게! 보다 행복하게!` 를 모토로 반려동물에게 질좋은 진료서비스를 합리적으로 제공하고자 노력하고 있습니다. 본원에서는 방사선 전공자(2차 동물병원 방사선 과장 출신)와 2차 동물병원 외과팀장 출신이 안과(안압측정 및 안초음파 가능), 초음파(심장초음파 및 복부정밀 초음파 가능, 전공자 진료), 정형외과(슬개골 탈구, 각종 골절), 일반외과(자궁축농증, 종양, 이물제거), 신경외과(발작, 디스크전문, CT/MRI 판독), 고양이 특화진료를 전문으로 합니다. 또한 반려동물 미용강사 출신의 미용사가 반려동물의 미용스트레스를 최소화 하며 스타일을 담당해주고 계십니다. 반려동물들이 산책길에 무서워하지 않고 반갑게 들어올 수 있는 동물병원이 되고자 합니다. 많이 응원해 주세요~! 궁금하신 사항은 전화 문의주세요~"
3210000,321000001020130006,2013.9.9,581-5500,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",6661,199582.595,442879.1893,영업/정상,정상,서울특별시 서초구 방배동 894-2 선빌딩 101호,16,동물제중원금손이 동물병원,금손이는 100% 예약제 진료입니다. 전화로 꼭 예약 후 방문 부탁드립니다. (예약 없이 방문 시 진료가 어렵습니다.),,,
